Weight	Nested	Procedure	imageName	emotion	gender	marker	trialType	isi
1		trialProc	AF09AFS.png	fear	female	86	valid	1650
1		trialProc	AF09AFS.png	fear	female	86	valid	1596
1		trialProc	AF09AFS.png	fear	female	86	valid	1444
1		trialProc	AF09AFS.png	fear	female	86	valid	1446
1		trialProc	AF09AFS.png	fear	female	86	valid	1435
1		trialProc	AF09AFS.png	fear	female	86	valid	1481
1		trialProc	AF09AFS.png	fear	female	86	valid	1628
1		trialProc	AF09AFS.png	fear	female	86	valid	1673
1		trialProc	AF09AFS.png	fear	female	86	valid	1653
1		trialProc	AF09AFS.png	fear	female	86	valid	1646
1		trialProc	AF09AFS.png	fear	female	86	valid	1578
1		trialProc	AF09AFS.png	fear	female	86	valid	1668
1		trialProc	AF09AFS.png	fear	female	86	valid	1419
1		trialProc	AF09NES.png	neutral	female	26	valid	1524
1		trialProc	AF09NES.png	neutral	female	26	valid	1442
1		trialProc	AF09NES.png	neutral	female	26	valid	1595
1		trialProc	AF09NES.png	neutral	female	26	valid	1666
1		trialProc	AF09NES.png	neutral	female	26	valid	1659
1		trialProc	AF09NES.png	neutral	female	26	valid	1494
1		trialProc	AF09NES.png	neutral	female	26	valid	1625
1		trialProc	AF09NES.png	neutral	female	26	valid	1657
1		trialProc	AF09NES.png	neutral	female	26	valid	1407
1		trialProc	AF09NES.png	neutral	female	26	valid	1458
1		trialProc	AF09NES.png	neutral	female	26	valid	1562
1		trialProc	AF09NES.png	neutral	female	26	valid	1410
1		trialProc	AF09NES.png	neutral	female	26	valid	1611
1		trialProc	AF21AFS.png	fear	female	86	valid	1614
1		trialProc	AF21AFS.png	fear	female	86	valid	1494
1		trialProc	AF21AFS.png	fear	female	86	valid	1438
1		trialProc	AF21AFS.png	fear	female	86	valid	1553
1		trialProc	AF21AFS.png	fear	female	86	valid	1518
1		trialProc	AF21AFS.png	fear	female	86	valid	1599
1		trialProc	AF21AFS.png	fear	female	86	valid	1570
1		trialProc	AF21AFS.png	fear	female	86	valid	1487
1		trialProc	AF21AFS.png	fear	female	86	valid	1428
1		trialProc	AF21AFS.png	fear	female	86	valid	1517
1		trialProc	AF21AFS.png	fear	female	86	valid	1696
1		trialProc	AF21AFS.png	fear	female	86	valid	1637
1		trialProc	AF21AFS.png	fear	female	86	valid	1514
1		trialProc	AF21NES.png	neutral	female	26	valid	1519
1		trialProc	AF21NES.png	neutral	female	26	valid	1424
1		trialProc	AF21NES.png	neutral	female	26	valid	1496
1		trialProc	AF21NES.png	neutral	female	26	valid	1627
1		trialProc	AF21NES.png	neutral	female	26	valid	1555
1		trialProc	AF21NES.png	neutral	female	26	valid	1407
1		trialProc	AF21NES.png	neutral	female	26	valid	1444
1		trialProc	AF21NES.png	neutral	female	26	valid	1581
1		trialProc	AF21NES.png	neutral	female	26	valid	1699
1		trialProc	AF21NES.png	neutral	female	26	valid	1524
1		trialProc	AF21NES.png	neutral	female	26	valid	1635
1		trialProc	AF21NES.png	neutral	female	26	valid	1630
1		trialProc	AF21NES.png	neutral	female	26	valid	1606
1		trialProc	AF31AFS.png	fear	female	86	valid	1696
1		trialProc	AF31AFS.png	fear	female	86	valid	1448
1		trialProc	AF31AFS.png	fear	female	86	valid	1692
1		trialProc	AF31AFS.png	fear	female	86	valid	1428
1		trialProc	AF31AFS.png	fear	female	86	valid	1426
1		trialProc	AF31AFS.png	fear	female	86	valid	1502
1		trialProc	AF31AFS.png	fear	female	86	valid	1545
1		trialProc	AF31AFS.png	fear	female	86	valid	1530
1		trialProc	AF31AFS.png	fear	female	86	valid	1669
1		trialProc	AF31AFS.png	fear	female	86	valid	1478
1		trialProc	AF31AFS.png	fear	female	86	valid	1423
1		trialProc	AF31AFS.png	fear	female	86	valid	1605
1		trialProc	AF31AFS.png	fear	female	86	valid	1610
1		trialProc	AF31NES.png	neutral	female	26	valid	1611
1		trialProc	AF31NES.png	neutral	female	26	valid	1467
1		trialProc	AF31NES.png	neutral	female	26	valid	1634
1		trialProc	AF31NES.png	neutral	female	26	valid	1531
1		trialProc	AF31NES.png	neutral	female	26	valid	1550
1		trialProc	AF31NES.png	neutral	female	26	valid	1478
1		trialProc	AF31NES.png	neutral	female	26	valid	1531
1		trialProc	AF31NES.png	neutral	female	26	valid	1692
1		trialProc	AF31NES.png	neutral	female	26	valid	1618
1		trialProc	AF31NES.png	neutral	female	26	valid	1644
1		trialProc	AF31NES.png	neutral	female	26	valid	1580
1		trialProc	AF31NES.png	neutral	female	26	valid	1685
1		trialProc	AF31NES.png	neutral	female	26	valid	1644
1		trialProc	AM05AFS.png	fear	male	83	valid	1474
1		trialProc	AM05AFS.png	fear	male	83	valid	1588
1		trialProc	AM05AFS.png	fear	male	83	valid	1594
1		trialProc	AM05AFS.png	fear	male	83	valid	1596
1		trialProc	AM05AFS.png	fear	male	83	valid	1445
1		trialProc	AM05AFS.png	fear	male	83	valid	1518
1		trialProc	AM05AFS.png	fear	male	83	valid	1668
1		trialProc	AM05AFS.png	fear	male	83	valid	1551
1		trialProc	AM05AFS.png	fear	male	83	valid	1570
1		trialProc	AM05AFS.png	fear	male	83	valid	1509
1		trialProc	AM05AFS.png	fear	male	83	valid	1410
1		trialProc	AM05AFS.png	fear	male	83	valid	1529
1		trialProc	AM05AFS.png	fear	male	83	valid	1562
1		trialProc	AM05NES.png	neutral	male	23	valid	1672
1		trialProc	AM05NES.png	neutral	male	23	valid	1608
1		trialProc	AM05NES.png	neutral	male	23	valid	1412
1		trialProc	AM05NES.png	neutral	male	23	valid	1528
1		trialProc	AM05NES.png	neutral	male	23	valid	1563
1		trialProc	AM05NES.png	neutral	male	23	valid	1691
1		trialProc	AM05NES.png	neutral	male	23	valid	1566
1		trialProc	AM05NES.png	neutral	male	23	valid	1685
1		trialProc	AM05NES.png	neutral	male	23	valid	1585
1		trialProc	AM05NES.png	neutral	male	23	valid	1595
1		trialProc	AM05NES.png	neutral	male	23	valid	1484
1		trialProc	AM05NES.png	neutral	male	23	valid	1622
1		trialProc	AM05NES.png	neutral	male	23	valid	1698
1		trialProc	AM17AFS.png	fear	male	83	valid	1520
1		trialProc	AM17AFS.png	fear	male	83	valid	1429
1		trialProc	AM17AFS.png	fear	male	83	valid	1671
1		trialProc	AM17AFS.png	fear	male	83	valid	1683
1		trialProc	AM17AFS.png	fear	male	83	valid	1548
1		trialProc	AM17AFS.png	fear	male	83	valid	1598
1		trialProc	AM17AFS.png	fear	male	83	valid	1439
1		trialProc	AM17AFS.png	fear	male	83	valid	1667
1		trialProc	AM17AFS.png	fear	male	83	valid	1634
1		trialProc	AM17AFS.png	fear	male	83	valid	1529
1		trialProc	AM17AFS.png	fear	male	83	valid	1435
